transformation,model,prediction,recall,precision
mel,rf,wide,0.9534734971325968,0.9720245864144937
mel,rf,precise,0.9537423734403342,0.9007736287405538
mel,ensemble,wide,0.9534734971325968,0.8996964573793317
fft,knn,wide,0.856735191190751,0.8864253393665158
all,ensemble,wide,0.9534734971325968,0.8715912513758955
stft,knn,wide,0.8659218747137177,0.8686940836940837
fft,knn,precise,0.8388897489436402,0.8647578547036985
stft,ensemble,wide,0.8825885413803845,0.861729797979798
mel,knn,wide,0.8659895227736225,0.860291922795416
fft,ensemble,wide,0.861159969951813,0.8560224089635854
fft,rf,wide,0.861159969951813,0.8560224089635854
stft,rf,wide,0.8825885413803845,0.8555106621773289
mel,ensemble,precise,0.9537423734403342,0.8157286077878082
fft,ensemble,precise,0.8553573776810806,0.8111165249976651
fft,rf,precise,0.8528257321114603,0.81088973548668
stft,knn,precise,0.8609485936191437,0.8098679115536219
mel,knn,precise,0.85757650585076,0.8028289823437212
stft,rf,precise,0.8814127286402407,0.7932644228452285
stft,ensemble,precise,0.8826785514250508,0.7790110906798968
all,ensemble,precise,0.9548293299620733,0.7604200529200529
