transformation,model,prediction,total.calls,detected.calls,false.positives,missed.calls,precision,recall
mel,knn,precise,16,16,4,0,0.8,1
mel,knn,wide,16,16,3,0,0.8421052631578947,1
stft,knn,precise,16,16,3,0,0.8421052631578947,1
stft,knn,wide,16,16,2,0,0.8888888888888888,1
fft,knn,precise,16,16,1,0,0.9411764705882353,1
fft,knn,wide,16,16,1,0,0.9411764705882353,1
stft,rf,precise,16,16,3,0,0.8421052631578947,1
stft,rf,wide,16,16,2,0,0.8888888888888888,1
mel,rf,precise,16,16,5,0,0.7619047619047619,1
mel,rf,wide,16,16,3,0,0.8421052631578947,1
fft,rf,precise,16,16,2,0,0.8888888888888888,1
fft,rf,wide,16,16,1,0,0.9411764705882353,1
mel,ensemble,precise,16,16,7,0,0.6956521739130435,1
mel,ensemble,wide,16,16,4,0,0.8,1
fft,ensemble,precise,16,16,2,0,0.8888888888888888,1
fft,ensemble,wide,16,16,1,0,0.9411764705882353,1
stft,ensemble,precise,16,16,3,0,0.8421052631578947,1
stft,ensemble,wide,16,16,2,0,0.8888888888888888,1
all,ensemble,precise,16,16,8,0,0.6666666666666666,1
all,ensemble,wide,16,16,4,0,0.8,1
mel,knn,precise,92,90,6,2,0.9375,0.9782608695652174
mel,knn,wide,92,88,0,4,1,0.9565217391304348
stft,knn,precise,92,92,9,0,0.9108910891089109,1
stft,knn,wide,92,88,0,4,1,0.9565217391304348
fft,knn,precise,92,89,3,3,0.967391304347826,0.967391304347826
fft,knn,wide,92,88,0,4,1,0.9565217391304348
stft,rf,precise,92,92,11,0,0.8932038834951457,1
stft,rf,wide,92,88,0,4,1,0.9565217391304348
mel,rf,precise,92,91,12,1,0.883495145631068,0.9891304347826086
mel,rf,wide,92,88,1,4,0.9887640449438202,0.9565217391304348
fft,rf,precise,92,91,6,1,0.9381443298969072,0.9891304347826086
fft,rf,wide,92,88,0,4,1,0.9565217391304348
mel,ensemble,precise,92,91,12,1,0.883495145631068,0.9891304347826086
mel,ensemble,wide,92,88,1,4,0.9887640449438202,0.9565217391304348
fft,ensemble,precise,92,91,6,1,0.9381443298969072,0.9891304347826086
fft,ensemble,wide,92,88,0,4,1,0.9565217391304348
stft,ensemble,precise,92,92,13,0,0.8761904761904762,1
stft,ensemble,wide,92,88,0,4,1,0.9565217391304348
all,ensemble,precise,92,92,18,0,0.8363636363636363,1
all,ensemble,wide,92,88,1,4,0.9887640449438202,0.9565217391304348
mel,knn,precise,113,112,17,1,0.8682170542635659,0.9911504424778761
mel,knn,wide,113,110,3,3,0.9734513274336283,0.9734513274336283
stft,knn,precise,113,111,12,2,0.9024390243902439,0.9823008849557522
stft,knn,wide,113,109,1,4,0.990909090909091,0.9646017699115044
fft,knn,precise,113,98,3,15,0.9702970297029703,0.8672566371681416
fft,knn,wide,113,104,0,9,1,0.9203539823008849
stft,rf,precise,113,111,13,2,0.8951612903225806,0.9823008849557522
stft,rf,wide,113,109,1,4,0.990909090909091,0.9646017699115044
mel,rf,precise,113,112,15,1,0.8818897637795275,0.9911504424778761
mel,rf,wide,113,110,1,3,0.990990990990991,0.9734513274336283
fft,rf,precise,113,107,4,6,0.963963963963964,0.9469026548672567
fft,rf,wide,113,109,0,4,1,0.9646017699115044
mel,ensemble,precise,113,112,19,1,0.8549618320610687,0.9911504424778761
mel,ensemble,wide,113,110,3,3,0.9734513274336283,0.9734513274336283
fft,ensemble,precise,113,107,4,6,0.963963963963964,0.9469026548672567
fft,ensemble,wide,113,109,0,4,1,0.9646017699115044
stft,ensemble,precise,113,111,12,2,0.9024390243902439,0.9823008849557522
stft,ensemble,wide,113,109,1,4,0.990909090909091,0.9646017699115044
all,ensemble,precise,113,112,18,1,0.8615384615384616,0.9911504424778761
all,ensemble,wide,113,110,2,3,0.9821428571428571,0.9734513274336283
mel,knn,precise,79,73,8,6,0.9012345679012346,0.9240506329113924
mel,knn,wide,79,79,0,0,1,1
